,marks,seri,model,yil,km,renk,fiyat,tarih,il-ilce
50,Aston Martin,Vantage,V8 Vantage N420C,2011,25.301,Siyah,1.850.000 TL,03 Ocak 2022,İstanbul Sarıyer
51,Bentley,Continental,GT,2015,39.483,Gri,5.500.000 TL,22 Ocak 2022,İstanbul Pendik
52,Bentley,Continental,GT,2013,72.530,Siyah,4.350.000 TL,19 Ocak 2022,İstanbul Şişli
53,Bentley,Continental,GT Speed,2012,28.000,Siyah,4.250.000 TL,22 Ocak 2022,Antalya Aksu
54,Bentley,Flying Spur,6.0,2014,130.000,Siyah,3.450.000 TL,19 Ocak 2022,İstanbul Başakşehir
55,Bentley,Continental,GT,2015,33.860,Siyah,6.300.000 TL,19 Ocak 2022,İstanbul Beşiktaş
56,Bentley,Continental,GT,2012,26.870,Siyah,4.175.000 TL,19 Ocak 2022,Ankara Çankaya
57,Bentley,Continental,GTC,2021,0,Füme,12.500.000 TL,19 Ocak 2022,İstanbul Bağcılar
58,Bentley,Continental,GT,2013,123.059,Siyah,4.300.000 TL,20 Ocak 2022,İstanbul Şişli
59,Bentley,Continental,Flying Spur,2007,163.000,Siyah,1.960.000 TL,18 Ocak 2022,İstanbul Şişli
60,Bentley,Continental,GTC,2012,60.800,Siyah,4.550.000 TL,18 Ocak 2022,Kayseri Kocasinan
61,Bentley,Continental,GT Speed,2012,26.870,Siyah,4.175.000 TL,19 Ocak 2022,İstanbul Şişli
62,Bentley,Continental,GT Supersports,2011,43.000,Beyaz,3.400.000 TL,17 Ocak 2022,İstanbul Bağcılar
63,Bentley,Continental,GT,2020,0,Siyah,9.850.000 TL,17 Ocak 2022,İstanbul Beşiktaş
64,Bentley,Continental,GT Speed,2008,39.000,Gri,3.477.900 TL,17 Ocak 2022,İstanbul Şişli
65,Bentley,Continental,GT Supersports,2013,66.650,Siyah,4.450.000 TL,16 Ocak 2022,İstanbul Esenyurt
66,Bentley,Continental,Flying Spur,2008,47.500,Siyah,2.490.000 TL,16 Ocak 2022,Bursa Osmangazi
67,Bentley,Continental,GTC,2008,18.497,Siyah,3.627.900 TL,17 Ocak 2022,Hatay Antakya
68,Bentley,Continental,GT,2016,34.000,Siyah,6.850.000 TL,16 Ocak 2022,İstanbul Esenyurt
69,Bentley,Continental,GT,2012,42.000,Siyah,4.500.000 TL,15 Ocak 2022,İstanbul Bakırköy
70,Bentley,Continental,Flying Spur,2008,48.186,Beyaz,3.250.000 TL,15 Ocak 2022,İstanbul Beşiktaş
71,Bentley,Continental,GT,2012,49.500,Siyah,3.650.000 TL,15 Ocak 2022,İzmir Bornova
72,Bentley,Continental,GT,2011,42.000,Lacivert,4.250.000 TL,15 Ocak 2022,İstanbul Bakırköy
73,Bentley,Continental,GT,2007,102.561,Siyah,2.275.000 TL,14 Ocak 2022,İstanbul Beşiktaş
74,Bentley,Continental,GT,2013,33.000,Gri,4.850.000 TL,14 Ocak 2022,İstanbul Kadıköy
75,Bentley,Continental,GT,2012,83.000,Siyah,4.050.000 TL,14 Ocak 2022,Antalya Kepez
76,Bentley,Continental,GT,2017,11.600,Füme,6.600.000 TL,14 Ocak 2022,Konya Selçuklu
